sales_channel,route,AverageFlightDuration,LengthOfStay,WantsExtraBaggage,PrefSeat,WantsMeals
Internet,CTSSUB,8.67,2.58,0.11,0.08,0.09
Internet,KIXSBW,7,2.57,0.1,0.05,0.05
Internet,BWNOOL,8.83,2.56,0.08,0.05,0.04
Internet,BKIPER,5.620000000000004,2.56,0.11,0.07,0.08
Internet,LGKPER,5.620000000000003,2.56,0.12,0.05,0.07
Internet,IKASUB,8.15,2.55,0.09,0.06,0.12
Internet,SYDSZX,8.58,2.55,0.06,0.04,0.04
Internet,BDOPER,5.62,2.54,0.13,0.06,0.1
Internet,CNXSYD,8.579999999999997,2.54,0.08,0.05,0.05
Internet,CNXTPE,4.669999999999996,2.54,0.12,0.06,0.09
Internet,MNLSYD,8.58,2.54,0.07,0.03,0.04
Internet,MELREP,8.829999999999995,2.53,0.07,0.04,0.05
Internet,DACICN,6.619999999999999,2.52,0.14,0.06,0.12
Internet,DPSOOL,8.830000000000002,2.52,0.06,0.03,0.04
Internet,SYDVTE,8.58,2.51,0.12,0.09,0.06
Internet,HDYPVG,5.33,2.5,0.19,0.13,0.06
Internet,OOLSZX,8.83,2.5,0.08,0.05,0.08
Internet,DELLGK,5.519999999999998,2.48,0.08,0.05,0.03
Internet,OOLURT,8.83,2.47,0.08,0.05,0.08
Internet,CGKSYD,8.579999999999997,2.46,0.07,0.03,0.05
Internet,KIXSGN,7,2.46,0.07,0.03,0.05
Internet,HNDIKA,8.150000000000002,2.45,0.07,0.01,0.04
Internet,KBRKIX,7,2.44,0.11,0.06,0.07
Internet,PERSIN,5.620000000000001,2.43,0.11,0.07,0.06
Internet,KBVSYD,8.580000000000005,2.43,0.07,0.05,0.06
Internet,REPSYD,8.579999999999998,2.42,0.07,0.04,0.06
Internet,DELPEN,5.519999999999997,2.41,0.11,0.06,0.06
Internet,CMBICN,6.620000000000003,2.41,0.09,0.04,0.09
Internet,SYDXIY,8.58,2.41,0.04,0,0.04
Internet,JHBTPE,4.6700000000000035,2.4,0.17,0.07,0.07
Internet,KBRMEL,8.830000000000004,2.39,0.06,0.04,0.06
Internet,BDOICN,6.620000000000003,2.39,0.11,0.07,0.07
Internet,BBIOOL,8.83,2.38,0.11,0.06,0
Internet,MELSWA,8.83,2.38,0.06,0.06,0.06
Internet,MYYPUS,6.329999999999999,2.38,0.13,0.1,0.1
Internet,AORKIX,7,2.37,0.08,0.07,0.07
Internet,HKTPER,5.619999999999962,2.37,0.1,0.05,0.06
Internet,HKTOOL,8.82999999999997,2.36,0.08,0.05,0.05
Internet,KBVPER,5.620000000000002,2.36,0.11,0.09,0.08
Internet,KBVMEL,8.830000000000004,2.36,0.08,0.03,0.03
Internet,BKICKG,4.829999999999999,2.35,0.1,0,0
Internet,BDOCTU,4.72,2.33,0.14,0,0
Internet,IKAPEK,8.15,2.33,0,0,0
Internet,JEDSUB,9.5,2.32,0.08,0,0.09
Internet,HKTKTM,4.75,2.32,0.11,0.21,0
Internet,AKLHND,7.57,2.31,0.07,0,0.07
Internet,HNDPEN,7.570000000000034,2.31,0.09,0.06,0.06
Internet,CGKPER,5.620000000000003,2.31,0.11,0.05,0.06
Internet,PERREP,5.620000000000001,2.3,0.09,0.06,0.09
Internet,CMBHGH,5.07,2.3,0.08,0,0.07
Internet,JHBMRU,7.42,2.29,0.13,0.07,0.13
Internet,DMKPVG,5.330000000000001,2.28,0.09,0.03,0.02
Internet,HNDMEL,8.830000000000002,2.28,0.07,0.03,0.05
Internet,BTUICN,6.620000000000003,2.27,0.1,0.04,0.06
Internet,CXRMEL,8.83,2.27,0.11,0,0.11
Internet,PVGSIN,5.329999999999999,2.27,0.07,0.03,0.06
Internet,KHHOOL,8.83,2.27,0,0,0
Internet,HKGMRU,7.42,2.26,0.1,0.07,0.07
Internet,DPSSYD,8.580000000000009,2.25,0.07,0.02,0.04
Internet,HNDSYD,8.579999999999998,2.25,0.07,0.02,0.03
Internet,HGHJHB,5.07,2.25,0.14,0.11,0.08
Internet,PEKPEN,6.419999999999985,2.24,0.09,0.03,0.05
Internet,HGHSBW,5.07,2.24,0.2,0,0.03
Internet,KIXPEN,7,2.24,0.1,0.06,0.07
Internet,OOLUTP,8.83,2.24,0.06,0.08,0.08
Internet,BKICTU,4.72,2.2,0.11,0.04,0.05
Internet,DMKTPE,4.669999999999995,2.2,0.11,0.03,0.03
Internet,KNOXIY,5,2.2,0.1,0.03,0.07
Internet,LGKOOL,8.830000000000002,2.19,0.08,0.05,0.04
Internet,KIXLOP,7,2.18,0.07,0.07,0.03
Internet,ICNSBW,6.620000000000004,2.17,0.12,0.06,0.08
Internet,HKTMEL,8.829999999999977,2.17,0.07,0.03,0.04
Internet,HGHLOP,5.07,2.17,0,0,0.07
Internet,DMKPEK,6.420000000000003,2.16,0.06,0.02,0.04
Internet,MELSUB,8.830000000000004,2.16,0.07,0.04,0.07
